,galaxy,v3k,mod0,dl_mpc,z,d_mpc
90,  UGC03078                   ,5345,34.05,64.56542290346549,1.7829000888341228e-05,64.56427178700645
91,  UGC03084                   ,3995,33.33,46.34469197362874,1.3325885603166174e-05,46.34407439779493
92,  UGC03089                   ,4533,33.82,58.07644175213124,1.5120460435332232e-05,58.075563622869225
93,  UGC03108                   ,3890,33.53,50.8159442560561,1.2975643303208114e-05,50.815284895044954
94,  UGC03114                   ,3664,33.73,55.71857489319292,1.2221788448060291e-05,55.717893920880655
95,  UGC03148                   ,4657,34.21,69.50243175887977,1.553407991337794e-05,69.50135211932187
96,  UGC03151                   ,4568,33.91,60.53408747539124,1.5237207868651586e-05,60.53316511897138
97,  UGC03143                   ,4501,34.19,68.86522963442748,1.5013719924868824e-05,68.86419572668
98,  UGC03167                   ,4680,34.22,69.82324040771705,1.5610799655273514e-05,69.82215042811522
99,  UGC03186                   ,4543,34.11,66.37430704019089,1.5153816844852048e-05,66.37330123134063
100,  PGC016322                  ,3820,33.49,49.888448746001266,1.2742148436569408e-05,49.887813068081975
101,  NGC1699                    ,3917,33.54,51.05049999754065,1.3065705608911616e-05,51.04983299545134
102,  ESO552-052                 ,4593,34.05,64.56542290346549,1.5320598892451123e-05,64.56443373767348
103,  UGC03237                   ,4183,33.63,53.210825926679526,1.39529861021387e-05,53.21008348712414
104,  NGC1797                    ,4465,34.38,75.1622894018206,1.4893636850597488e-05,75.16116997864967
105,  UGC03250                   ,4489,34.87,94.18895965228398,1.4973692233445045e-05,94.18754931690829
106,  UGC03253                   ,4081,33.99,62.8058358813318,1.3612750725036585e-05,62.80498093278207
107,  UGC03319                   ,4186,34.22,69.82324040771705,1.3962993024994645e-05,69.82226547991117
108,  UGC03329                   ,5279,34.1,66.06934480075964,1.7608848585510445e-05,66.06818141615676
109,  UGC03332                   ,5850,34.32,73.11390834834172,1.9513499569091896e-05,73.1124816679622
110,  NGC2049                    ,3056,34.15,67.60829753919819,1.0193718749255527e-05,67.60760836625319
111,  UGC03351                   ,4398,33.44,48.75284901033861,1.4670148906814727e-05,48.7521338092761
112,  PGC017787                  ,14675,36.64,212.81390459827088,4.895053097032881e-05,212.80348775455295
113,  UGC03354                   ,3082,33.26,44.87453899331314,1.0280445414007047e-05,44.874077667807164
114,  UGC03365                   ,5136,34.73,88.30799004185621,1.713185192937709e-05,88.30647718836462
115,  PGC018109                  ,5812,34.27,71.44963260755151,1.9386745212916597e-05,71.44824745858212
116,  UGC03379                   ,4100,33.66,53.951062251512674,1.3676127903124235e-05,53.950324419975495
117,  UGC03373                   ,4730,33.91,60.53408747539124,1.5777581702872592e-05,60.53313240894892
118,  PGC018467                  ,4278,34.04,64.26877173170195,1.4269871992576944e-05,64.26785463764304
119,  ESO425-011                 ,3311,33.82,58.07644175213124,1.1044307192010815e-05,58.0758003451518
120,  UGC03406                   ,5198,34.19,68.86522963442748,1.7338661668399944e-05,68.86403562421266
121,  UGC03422                   ,4051,34.05,64.56542290346549,1.3512681496477139e-05,64.56455046325912
122,  UGC03413                   ,4187,33.24,44.46312674691093,1.3966328665946626e-05,44.462505768942044
